company,critic_name,movie,rating,review_text
Fresno Bee,Donald Munro,"Monsters, Inc.",fresh,"is the film as knowing and hilarious in the manner of shrek? no, and there aren't any dreamworks jokes, either. but it does hold on fiercely to the idea of clever, heartwarming family fun. and for that, monsters deserves lots of good ink."
Laramie Movie Scope,Robert Roten,"Monsters, Inc.",fresh,"this is a pleasant, amusing and entertaining film."
Spirituality and Practice,Frederic and Mary Ann Brussat,"Monsters, Inc.",fresh,a funny and frolicsome computer-animated feature that proves once and for all that laughter is a better renewable energy source than scares.
Credo,David Forsmark,"Monsters, Inc.",fresh,"another wonderfully warm, funny, adventurous, and fantastic looking effort from pixar."
Houston Community Newspapers,Gary Brown,"Monsters, Inc.",fresh,the chase scene through a conveyor belt full of closet doors is the highlight of the film.
San Francisco Examiner,Joe Leydon,"Monsters, Inc.",fresh,expect to have a jolly good time with a prodigiously imaginative and energetic romp.
rec.arts.movies.reviews,Mark R. Leeper,"Monsters, Inc.",fresh,"cute, likable, and a lot of fun."
Flipside Movie Emporium,Rob Vaux,"Monsters, Inc.",fresh,a few weak points appear... but the only reason they stand out is because we're so used to pixar knocking the ball out of the park.
Compuserve,Harvey S. Karten,"Monsters, Inc.",fresh,dazzling to look at but lacking the social message of last year's marvelous 'chicken run.'
Austin Chronicle,Marc Savlov,"Monsters, Inc.",fresh,it's almost beyond the point to say that this new collaboration between animation behemoths disney and pixar is wildly entertaining; what else could it be?
PopMatters,Tracy McLoone,"Monsters, Inc.",fresh,"for all the film's obvious unreality, the characters seem distinctly human -- especially the monsters -- and the story is simple and compelling."
Cinemaphile.org,David Keyes,"Monsters, Inc.",fresh,"on an artistic and creative level, ""monsters, inc."" may be the most visionary, intricate and offbeat product released by pixar."
Aisle Seat,Mike McGranaghan,"Monsters, Inc.",fresh,"monsters, inc. breaks ground as a computer-animated feature while still remaining true to the concepts of characterization and story."
Observer,Andrew Sarris,"Monsters, Inc.",rotten,"the plot premises of monsters, inc. strike me as downright peculiar for a supposed children's entertainment."
Matt's Movie Reviews,Matt Easterbrook,"Monsters, Inc.",fresh,"i hate to sound cliche, but monsters, inc. really is the feel-good movie of the year."
Matinee Magazine,Chuck Rudolph,"Monsters, Inc.",rotten,"even with all the good cheer on display, this represents the first instance in which pixar's ability to produce a thoroughly magical experience hits a brick wall."
eye WEEKLY,Jason Anderson,"Monsters, Inc.",fresh,"witty and imaginative, monsters, inc. could be pixar's best yet."
Q Network Film Desk,James Kendrick,"Monsters, Inc.",fresh,strikes a near-perfect balance between absolute hilarity and effective sentimentality
Cinerina,Karina Montgomery,"Monsters, Inc.",fresh,the pixar crew is so freakin' creative i don't know how they sleep at night without their heads exploding. maybe they are issued special helmets.
Scott Mantz' Movie Reviews,Scott A. Mantz,"Monsters, Inc.",fresh,"even though the film loses some steam about midway through, the visual extravaganza is sure to keep you occupied until the breathtaking, edge-of-your-seat climax."
Needcoffee.com,Widgett Walls,"Monsters, Inc.",fresh,"pixar does not disappoint, as though anyone expected them to."
BBC.com,Neil Smith,"Monsters, Inc.",fresh,"a hugely creative, fast-paced romp that will keep both children and their parents thoroughly entertained."
Moviola,Jorge Avila Andrade,"Monsters, Inc.",fresh,"es un pequeño paso adelante respecto de la animación por computadora, pero un gran salto en cuanto a la diversión de alto calibre."
TheMovieReport.com,Michael Dequina,"Monsters, Inc.",fresh,a film that families will revisit in their living rooms many times over for many years to come.
Blunt Review,Emily Blunt,"Monsters, Inc.",fresh,simply adorable!
Baseline.Hollywood.com,Ted Murphy,"Monsters, Inc.",fresh,... will undoubtedly takes its place as a classic for future generations.
Shadows on the Wall,Rich Cline,"Monsters, Inc.",fresh,the people at pixar outdo even themselves with this high-energy action comedy.
Film Journal International,Kevin Lally,"Monsters, Inc.",fresh,"groundbreaking computer-animation house pixar has created another wondrous world in monsters, inc."
Film Blather,Eugene Novikov,"Monsters, Inc.",fresh,"it made me laugh, gasp in amazement, almost cry. then it made me happy for about a week. then i saw it again. it's that good."
Dark Horizons,Garth Franklin,"Monsters, Inc.",fresh,
Sacramento News & Review,Mark Halverson,"Monsters, Inc.",fresh,a somewhat repetitive but spirited comedy-adventure.
Tooele Transcript-Bulletin (Utah),Audrey Rock-Richardson,"Monsters, Inc.",fresh,"disney and pixar have done it again. and hopefully they will again, and again, and again."
NutzWorld,Blake French,"Monsters, Inc.",fresh,works rather well until it introduces this annoying little girl as a plot device.
Cinenganos,Luis Martinez,"Monsters, Inc.",fresh,qu podemos decir de monsters inc.? vanguardia en animacin con todo el aroma y calidad del sello pixar
Decent Films Guide,Steven D. Greydanus,"Monsters, Inc.",fresh,triumphantly reconfirms the geniuses at pixar as the 800-pound gorillas of modern animation and the reigning kings of family entertainment.
MovieMartyr.com,Jeremy Heilman,"Monsters, Inc.",rotten,"i don't mind flights of fancy in a film, but i do like a consistent tone. this film fails to deliver one."
Hollywood.com,Kit Bowen,"Monsters, Inc.",fresh,
Mark Reviews Movies,Mark Dujsik,"Monsters, Inc.",fresh,a wonderfully imaginative and very funny film that shows not only another leap in technology for [pixar] but also an impressive maturation of their storytelling abilities.
UK Critic,Ian Waldron-Mantgani,"Monsters, Inc.",fresh,puts playful spin on childhood legend
Guardian,Peter Bradshaw,"Monsters, Inc.",fresh,"staggeringly generous with its witty lines, its allusions, above all with its sheer visual spectacle."
New York Magazine/Vulture,Peter Rainer,"Monsters, Inc.",fresh,i enjoyed it.
Movie Metropolis,John J. Puccio,"Monsters, Inc.",fresh,...love and kindness are a lot more powerful than a myriad of hatreds and dreads. i doubt that any of us outgrow our need to hear those kinds of lessons repeated.
Montreal Film Journal,Kevin N. Laforest,"Monsters, Inc.",fresh,"crafted with enough heart, skill and energy to entertain audiences of all ages."
BBC.com,Almar Haflidason,"Monsters, Inc.",fresh,
Urban Cinefile,Urban Cinefile Critics,"Monsters, Inc.",fresh,"with its imaginative concepts delightfully executed, monsters inc is a colourful splash of monstrous wit and charm that will send you happily into nonsense land for 92 enjoyable minutes."
Window to the Movies,Jeffrey Chen,"Monsters, Inc.",fresh,"a movie like monsters, inc. is a treasure."
Supercala.com,John Venable,"Monsters, Inc.",fresh,"this flick is absolutely fantastic from top to bottom, beginning to end!"
"Northwest Herald (Crystal Lake, IL)",Jeffrey Westhoff,"Monsters, Inc.",fresh,an irresistible bear hug of a movie.
Film Snobs,Jimmy O,"Monsters, Inc.",fresh,"a lot like shrek, except it doesn't suck."
Kalamazoo Gazette,James Sanford,"Monsters, Inc.",fresh,"a first-rate comedy, a truly exciting adventure and, when it wants to be, a touching tale of friendship. how many recent dramas can make the same claim?"
TheMovieChicks.com,Cherryl Dawson and Leigh Ann Palone,"Monsters, Inc.",fresh,"we've got a cartoon that has laughs, ""aahhh"" moments, and warm fuzzy monsters. there are heroes to cheer for and villains to hiss at, and one adorable little girl."
Cincinnati Enquirer,Margaret A. McGurk,"Monsters, Inc.",fresh,"i have no idea what the creative minds at pixar animation studios do to keep themselves in touch with their inner kids, but if they could bottle it, the world would be a better place."
Needcoffee.com,Widgett Walls,"Monsters, Inc.",fresh,"the sheer volume of extra stuff on the dvd will take forever and a weekend to get through, but you expected that--it's pixar, and it's worth it."
Reel.com,"
                                    ","Monsters, Inc.",fresh,
Dark Horizons,Garth Franklin,"Monsters, Inc.",fresh,
Reno Gazette-Journal,Forrest Hartman,"Monsters, Inc.",fresh,monsters inc. reminds us that studios desperately need to put the same amount of effort into live-action features that they do their animated counterparts.
Reno Gazette-Journal,Forrest Hartman,"Monsters, Inc.",fresh,"while shrek is a slightly superior movie, the two-dvd treatment disney has given monsters inc. makes it the better home video deal."
Matinee Magazine,Jason Clark,"Monsters, Inc.",fresh,"this film is the pure antithesis of the ghastly shrek, truly good-natured and visually pleasing to the eye"
Supercala.com,John Venable,"Monsters, Inc.",fresh,"there are loads of stuff on the extra disc, and if you loved the movie like i did, you'll no doubt love the dvd!!!"
L.A. Weekly,Hazel-Dawn Dumpert,"Monsters, Inc.",fresh,a visual triumph.
Movie Metropolis,John J. Puccio,"Monsters, Inc.",fresh,...wholesome family fun.
Zertinet Movies,Steven Snyder,"Monsters, Inc.",fresh,"an undeniably entertaining success. for children, parents, babysitters, and lovers of imagination, pixar continues to be a godsend."
Bullz-Eye.com,David Medsker,"Monsters, Inc.",fresh,pixar is the best studio in hollywood.
Looking Closer,Jeffrey Overstreet,"Monsters, Inc.",fresh,it's like a package of your favorite snacks that you open to discover is only half full.
Worcester Telegram & Gazette,Daniel M. Kimmel,"Monsters, Inc.",fresh,"monsters, inc. is like an oasis in the middle of the desert, featuring the sort of writing [and] acting... that used to mark great movies."
RTÉ (Ireland),Harry Guerin,"Monsters, Inc.",fresh,guaranteed to make you hoover up the popcorn and convince any kid that there's no need to be scared of whatever's lurking underneath the bed.
eFilmCritic.com,Brian Mckay,"Monsters, Inc.",fresh,"the critical nature of my personality wants to find something bad to say about it, but, uh . . . i got nothin'"
Film Quips Online,John R. McEwen,"Monsters, Inc.",fresh,"with this combination of vocal talent, the colorful computer work, and sparkling script, monsters, inc. continues the proud tradition established by the pixar/disney animation cooperative."
Cinema Sight,Wesley Lovell,"Monsters, Inc.",fresh,"another humorous entry in the pixar collection, though their overall quality seems to be slipping."
Slant Magazine,Ed Gonzalez,"Monsters, Inc.",fresh,parents should be prepared to sit in front of the television for hours on end before getting through half the extras available here.
ViewLondon,Matthew Turner,"Monsters, Inc.",fresh,"a smart script, great characters, gorgeous animation, wild colours, superb voice cast -- what's not to love?"
rec.arts.movies.reviews,David N. Butterworth,"Monsters, Inc.",rotten,"the complexities of the script, while clever, will likely fly over the heads of most within its target demographic."
TIME Magazine,Richard Corliss,"Monsters, Inc.",fresh,the good guys are those who realize that laughter is stronger than fear. that's a message worth taking to heart these jittery days.
Variety,Todd McCarthy,"Monsters, Inc.",fresh,the excellent basic ideas have yielded too few twists and dramatic junctures to keep the picture flying at the level at which it starts.
Film4,Daniel Etherington,"Monsters, Inc.",fresh,"it's funny and endearing, but its strengths are more in the 'physical' humour than in the dialogue, which isn't as rich in wit as pixar's previous outings."
Chicago Reader,Lisa Alspector,"Monsters, Inc.",fresh,"the analogy to our dependence on, say, oil is soon abandoned, the better to blur the distinction between abstract and concrete--something older viewers of this 2001 animated adventure may appreciate more than younger ones."
Empire Magazine,"
                                    ","Monsters, Inc.",fresh,"brighter and more exuberant than shrek, this would be a worthy winner of the first animation oscar."
EmanuelLevy.Com,Emanuel Levy,"Monsters, Inc.",fresh,"as witty and inspired as the company's previous animations, this magical tale benefits from its setting, monstropolis, where monsters of ecery shape and size reside."
Reel.com,Betsy Bozdech,"Monsters, Inc.",fresh,"it's an inventive, fast-paced tale that, while perhaps not as keenly clever as toy story or its sequel, never fails to entertain."
Time Out,Derek Adams,"Monsters, Inc.",fresh,"the balance tilts towards action and gags, and does them gloriously."
Film Threat,Michael Dequina,"Monsters, Inc.",fresh,"one thing counts head and shoulders above razzle-dazzle eye candy (or anything else, for that matter): the story and characters, and monsters, inc. introduces worthy additions to the pixar pantheon."
Reel Film Reviews,David Nusair,"Monsters, Inc.",fresh,a typically engrossing pixar effort...
Common Sense Media,Nell Minow,"Monsters, Inc.",fresh,"cute, kid-friendly monster movie; may scare sensitive kids."
The Film Yap,Nick Rogers,"Monsters, Inc.",fresh,"though ""monsters, inc."" relies more on spinning-plates plot than its pixar peers, this romp retains the charm and heart of the animation juggernaut's forte - adding extra to ordinary hopes, in this case leaving great impressions on the kids we love."
NewsBlaze,Kam Williams,"Monsters, Inc.",fresh,a charming cartoon classic coming courtesy of a successful collaboration by the good folks at disney and pixar.
Sly Fox,Kam Williams,"Monsters, Inc.",fresh,a charming cartoon classic coming courtesy of a successful collaboration by the good folks at disney and pixar.
Slant Magazine,Matt Noller,"Monsters, Inc.",fresh,a stunning release of one of pixar's most sadly underappreciated works.
Movie Views,Ryan Cracknell,"Monsters, Inc.",fresh,"monsters, inc. is a celebration of unforgettable characters and a world unlike any other."
Groucho Reviews,Peter Canavese,"Monsters, Inc.",fresh,"from its jazzy main titles to its gentle fadeout, monsters, inc. has something that money can't buy. it's likeable. [blu-ray]"
Hollywood.com,Kit Bowen,"Monsters, Inc.",fresh,"disney's pixar has done it again with the delightful monsters, inc.--so sit back, bring the whole family and have a wonderful time."
Cinema Crazed,Felix Vasquez Jr.,"Monsters, Inc.",fresh,"a classic tale about love, friendship and surpassing the odds to find a common ground in a lonely world."
Urban Cinefile,Louise Keller,"Monsters, Inc.",fresh,"now in 3d, the filmmakers have created a wonderful reality - the reality of monstropolis, which like the worlds of oz and pleasantville, whisk us far, far away on a magic carpet of fantasy"
The Sun Herald,Ed Gibbs,"Monsters, Inc.",fresh,"a shrewdly timed reminder of pixar's early, heady days, when the animation powerhouse could do no wrong."
Tribune News Service,Roger Moore,"Monsters, Inc.",fresh,this didn't need 3d to work. it long ago passed the kids-wear-out-the-dvd-rewatching-it test.
ScreenRant,Sandy Schaefer,"Monsters, Inc.",fresh,"there's really little reason to check out monsters, inc. 3d in... well, 3d, rather than going for a good old-fashioned 2d screening instead."
Mania.com,Rob Vaux,"Monsters, Inc.",fresh,"it does well, but not brilliantly: an amusing trifle from a studio whose best work still lay ahead of it."
NYC Movie Guru,Avi Offer,"Monsters, Inc.",fresh,"not quite a pixar classic, but funny, witty and visually spectacular enough to be enjoyed again on the big screen."
Blu-ray.com,Brian Orndorf,"Monsters, Inc.",fresh,"monsters, inc. continues a positive 3d trend for the company, who appear to be selecting their upgraded titles wisely, choosing features that benefit from the additional depth."
Slant Magazine,Nick McCarthy,"Monsters, Inc.",fresh,not even the opportunistic 3d-ification can squander the pure delight of the film's meticulously detailed world of ragtag creatures.
Toronto Star,Rob Salem,"Monsters, Inc.",fresh,"the movie itself stands up well, even from an adult, two-dimensional perspective."
Total Film,Neil Smith,"Monsters, Inc.",fresh,[a] sparkling cartoon ...
Antagony & Ecstasy,Tim Brayton,"Monsters, Inc.",fresh,[a] fixedly sweet bedtime story and exercise in imaginative possibility.
LarsenOnFilm,Josh Larsen,"Monsters, Inc.",fresh,"...the movie becomes a giddy, kiddie inversion of time and space."
Slant Magazine,Tina Hassannia,"Monsters, Inc.",fresh,pixar's overlooked gem arrives in a worthwhile collector's edition bursting with features and exceptional a/v presentation.
Birmingham Mail,Graham Young,"Monsters, Inc.",fresh,"[i] really don't see the point of paying extra for children under eight. their eyes are still developing, their noses are still small for slippery glasses, and... isn't a trip to the pictures enough for them in any case?"
London Evening Standard,Charlotte O'Sullivan,"Monsters, Inc.",fresh,"if anything, it improves with age."
The Sun (UK),Alex Zane,"Monsters, Inc.",fresh,monsters displays wonderful imagination which makes it worth reliving in an extra dimension - particularly the energetic chase scene along a conveyor belt of doors.
Daily Telegraph (UK),Robbie Collin,"Monsters, Inc.",fresh,pixar's soaringly lovely fourth feature ...
Daily Express (UK),Henry Fitzherbert,"Monsters, Inc.",fresh,"[an] exciting, imaginative and very likable adventure."
Birmingham Post,Graham Young,"Monsters, Inc.",fresh,"despite its eternal message about physical differences and the importance of love over fear of the unknown, monsters, inc primarily remains an ambitious concept film."
Empire Magazine,Helen O'Hara,"Monsters, Inc.",fresh,"another chance to see pixar's most dazzling premise, now spruced up with a third dimension."
ReelTalk Movie Reviews,Betty Jo Tucker,Ratatouille,fresh,"remy, the rodent hero of ratatouille, may not be as cute as mickey mouse, but he grows on you -- blue fur and all."
Beaumont Journal,Danny Minton,Ratatouille,fresh,"if rival studios ever adopted pixar's story process for their films, there would be no need for critics due to the exceptional quality of the movies being made."
Groucho Reviews,Peter Canavese,Ratatouille,fresh,to watch ratatouille is to recognize we're living in another golden age of american animation.
Entertainment Weekly,Owen Gleiberman,Ratatouille,fresh,"ratatouille has the pixar technical magic without, somehow, the full pixar flavor. it's brad bird's genial dessert, not so much incredible as merely sweetly edible."
Hollywood Reporter,Kirk Honeycutt,Ratatouille,fresh,brad bird and pixar animation studios are proving to be an unbeatable combination.
Hot Button,David Poland,Ratatouille,fresh,ratatouille is a major revelation. it is the first great american animation for adults first.
Houston Community Newspapers,Gary Brown,Ratatouille,fresh,"ratatouille is a delightful treat. as the french would say, c'est magnifique."
Apollo Guide,Brian Webster,Ratatouille,fresh,"what pushes this movie over the top is how it combines cartoon fun with rich evocations of the beauty and romance of paris, the value of family, and the wonders of food."
"Quad City Times (Davenport, IA)",Linda Cook,Ratatouille,fresh,delectable! ratatouille should be savored by every age of movie goer.
CinemaBlend,Rafe Telsch,Ratatouille,fresh,"a simple, enjoyable dish."
Associated Press,Christy Lemire,Ratatouille,fresh,"ratatouille is free of the kind of gratuitous pop-culture references that plague so many movies of the genre; it tells a story, it's very much of our world but it never goes for the cheap, easy gag."
Film Journal International,Kevin Lally,Ratatouille,fresh,"an irresistible feast of comedy, imagination, intelligence and heart, ratatouille will have audiences clamoring for seconds."
Buzzine Magazine,Staci Layne Wilson,Ratatouille,fresh,catch this rat!
ComingSoon.net,Edward Douglas,Ratatouille,fresh,pixar has packed so much fun and entertainment into their latest that you'll probably want to see it again as soon as it's over.
ReelViews,James Berardinelli,Ratatouille,fresh,"for parents looking to spend time in a theater with their kids or adults who want something lighter and less testosterone-oriented than the usual summer fare, ratatouille offers a savory main course."
Rolling Stone,Peter Travers,Ratatouille,fresh,"what makes ratatouille such a hilarious and heartfelt wonder is the way bird contrives to let it sneak up on you. and get a load of that score from michael giacchino, a perfect compliment to a delicious meal."
"The Coast (Halifax, Nova Scotia)",Mark Palermo,Ratatouille,fresh,it's a variation of cyrano de bergerac with its own comic sensibility.
Internet Reviews,Steve Rhodes,Ratatouille,fresh,"easily the best pixar film since a bug's life, ratatouille is deliciously delightful, wonderfully sweet and drop-dead gorgeous."
New York Magazine/Vulture,David Edelstein,Ratatouille,fresh,"brad bird wrote and directed ratatouille and tops his previous work. since his work includes the iron giant and the incredibles, this puts him somewhere between chuck jones and michelangelo."
www.susangranger.com,Susan Granger,Ratatouille,fresh,"captivating, inventive and souffle-light...family audiences will eat it up!"
Orlando Weekly,Jason Ferguson,Ratatouille,rotten,"beyond the stunning animation (they finally got hair right!), there's little to recommend besides the fact that it's a touch better than shrek the third."
Time Out,Wally Hammond,Ratatouille,fresh,"a test for tiny tots, a mite nostalgic and as male-dominated as a modern kitchen it may be, but these are mere quibbles about this delightful addition to the pixar pantheon."
Film Freak Central,Walter Chaw,Ratatouille,fresh,"at first glance, this is bird's lightest film; upon further reflection, it deepens into perhaps his most substantive."
About.com,Rebecca Murray,Ratatouille,fresh,ratatouille's one of the few must see movies of the summer of 2007.
Peterborough This Week,Mike Sage,Ratatouille,fresh,don't be surprised if people start called brad bird the spielberg of animation
Arizona Daily Star,Phil Villarreal,Ratatouille,rotten,"the wild, devoted praise afforded bird's solid yet tepid films puzzles me. it's as though society is playing a joke that everyone but me and a few others are in on. i smell a ratatouille."
Compuserve,Harvey S. Karten,Ratatouille,fresh,"ratatouille is the best of the eight movies that pixar has offered to date. it has color, glorious music, a fast pace, a clever and witty script, a credible villain or two, and the one thing everyone in the audience loves: lots of delicious food."
Zertinet Movies,Steven Snyder,Ratatouille,fresh,"this is a summer animated film aimed at your 15-year-old youngster, not your toddler. [while] younger fans will enjoy the sight of these furry heroes in a man's world, they will easily lose track of the intricate story, smart dialogue and complex themes."
Mark Reviews Movies,Mark Dujsik,Ratatouille,fresh,a visually astounding comedy that's missing the emotional significance and thematic complexity of the computer animation studio's best work.
Boxoffice Magazine,Annlee Ellingson,Ratatouille,fresh,"ratatouille's narrative shortcuts only serve to make room for the fun, of which there are generous servings."
AV Club,Tasha Robinson,Ratatouille,fresh,bird has a rare cinematic gift: the ability to stage slam-bang action sequences without neglecting the rich emotional resonance that makes for a great story.
L.A. Weekly,Scott Foundas,Ratatouille,fresh,bird has taken the raw ingredients of an anthropomorphic-animal kiddie matinee and whipped them into a heady brew about nothing less than the principles of artistic creation.
Austin Chronicle,Marc Savlov,Ratatouille,fresh,"pixar's animation is simply flawless; colorful, deeply realized, and ably conveying both the chaos of the kitchen, and the sensual allure of food well prepared."
Tribune News Service,Roger Moore,Ratatouille,rotten,"has pixar lost its magic recipe? ratatouille is filled with fairly generic animated imagery, a few modest chases, a couple of good gags, not a lot of laughs."
Newsday,Rafer Guzman,Ratatouille,fresh,"so many computer-animated movies are brash, loud and popping with pop-culture comedy, but ratatouille has the warm glow of a favorite book. the characters are more than the sum of their gigabyte-consuming parts -- they feel handcrafted."
Chicago Tribune,Michael Phillips,Ratatouille,fresh,"the film may be animated, and largely taken up with rats, but its pulse is gratifyingly human. and you have never seen a computer-animated feature with this sort of visual panache and detail."
Metromix.com,Matt Pais,Ratatouille,fresh,even more fun to watch than it is to say.
CinemaBlend,Joshua Tyler,Ratatouille,fresh,"when remy starts driving linguini around like a puppet, it feels like something lifted from an episode of pinky & the brain."
Slant Magazine,Nick Schager,Ratatouille,fresh,"a boisterous ode to culinary delights, artistic inspiration, egalitarianism, camaraderie, family, and paris."
"Sun Publications (Chicago, IL)",Josh Larsen,Ratatouille,fresh,...oswalt babbles away with the mania of a true obsessive. he's like julia child after too much wine.
Wall Street Journal,Joe Morgenstern,Ratatouille,fresh,"the characters are irresistible, the animation is astonishing and the film, a fantasy version of a foodie rhapsody, sustains a level of joyous invention that hasn't been seen in family entertainment since the incredibles."
Seattle Post-Intelligencer,Sean Axmaker,Ratatouille,fresh,"... hearty and tasty, created from fresh ingredients and cooked up with unexpected flavors and dashes of spice, and it leaves a satisfying and inspiring warmth when it's done."
EricDSnider.com,Eric D. Snider,Ratatouille,fresh,"almost as funny, joyful, and heartfelt as anything that pixar's merry band of genius-nerds has ever done."
Combustible Celluloid,Jeffrey M. Anderson,Ratatouille,fresh,peter o'toole's performance as the critic anton ego is worthy of another oscar nomination.
One Guy's Opinion,Frank Swietek,Ratatouille,fresh,"the best comedy of the summer, animated or not, and perceptive parents may enjoy it even more than their offspring."
St. Paul Pioneer Press,Chris Hewitt,Ratatouille,fresh,the ratatouille concept could be off-putting -- a rat who dreams of using his bubonic paws to cook for humans at a ritzy parisian restaurant -- but it's so funny and lovable that the ick factor vanishes almost immediately.
Philadelphia Inquirer,Steven Rea,Ratatouille,fresh,"with ratatouille, bird once again delivers not just a great, witty story, but dazzling visuals as well."
Christian Science Monitor,Peter Rainer,Ratatouille,fresh,"in sequence after sequence, we are presented with visual set pieces that far exceed the imaginativeness of most live-action dramatic fare."
UGO,Brian Tallerico,Ratatouille,fresh,"the best animated movie in well over a year, and one of the most magical, enjoyable movie experiences you'll have at the theater this summer or any time else this year."
TheFilmFile.com,Dustin Putman,Ratatouille,rotten,pixar's weakest film in almost a decade.
WaffleMovies.com,Willie Waffle,Ratatouille,fresh,"takes the most vile, hated, disease-ridden vermin in the history of the world, then makes them cuddly and lovable. it's madness! complete, ingenious madness!"
FromTheBalcony,Bill Clark,Ratatouille,fresh,ratatouille is just the delicacy the customer ordered -- and one of the best films of the year.
Movie Mom,Nell Minow,Ratatouille,fresh,"pixar's latest release is brilliantly animated, and a lot of fun. but it does not have a clear sense of who its audience is, and families with children who are looking for the next finding nemo may find themselves puzzled."
Deseret News (Salt Lake City),Jeff Vice,Ratatouille,fresh,"it's a character-driven story that lets the humor flow naturally from the story's details. also, the handsome, colorful backgrounds here have a mind-blowing, photorealistic quality."
USA Today,Claudia Puig,Ratatouille,fresh,"ratatouille is delicious fun sure to be savored by audiences of all ages for its sumptuous visuals, clever wit and irresistibly inspiring tale."
Arizona Republic,Bill Muller,Ratatouille,fresh,"like the burbling soup that plays a key part in ratatouille, the movie is a delectable blend of ingredients that tickles the palette and leaves you hungry for more."
Los Angeles Times,Kenneth Turan,Ratatouille,fresh,brad bird's ratatouille is so audacious you have to fall in love with its unlikely hero.
Milwaukee Journal Sentinel,Duane Dudek,Ratatouille,fresh,"one of the most beautiful and complex digital films yet, layered with detail and atmosphere and dimensionally rich and fluid."
Filmcritic.com,David Levine,Ratatouille,fresh,easily the best pixar creation next to the incredibles; arguably it's even better.
Slate,Dana Stevens,Ratatouille,fresh,"ratatouille is brad bird's best movie yet, and from the writer-director who made two of the best american animated features of the past decade, the incredibles and the sadly neglected iron giant, that's something."
Pittsburgh Post-Gazette,Barry Paris,Ratatouille,fresh,"too bad julia child isn't here to see it, but i've channeled a message from her: she ratifies ratatouille from beyond."
Decent Films Guide,Steven D. Greydanus,Ratatouille,fresh,"linguini gives the best physical ""performance"" from a cgi character to date, virtually (so to speak) rivaling the likes of steve martin in all of me and vincent d'onofrio in men in black."
Movies.com,Dave White,Ratatouille,fresh,i'm really hoping this makes a ton of money and sparks a trend of mainstream animated features that rely more on plot and character than on by-the-numbers cartoonisms.
Future Movies UK,Coco Forsythe,Ratatouille,fresh,ratatouille is touching and moving and very funny. bon appetit!
Window to the Movies,Jeffrey Chen,Ratatouille,fresh,"animation shouldn't be just for kids -- animation should be used to tell good stories ... and, with its many strengths, ratatouille is a great story, and a great movie."
MovieFreak.com,Sara Michelle Fetters,Ratatouille,fresh,"the man behind the iron giant and the incredibles, bird has crafted another wondrously original and emotionally magnificent cinematic adventure the likes of which simply must be seen to be believed."
Las Vegas Weekly,Josh Bell,Ratatouille,fresh,its pleasures are mostly small.
OhmyNews.com,Brian Orndorf,Ratatouille,fresh,"there's a brilliant 75-minute film here, and truthfully, i could watch the cooking scenes with remy all day. but pixar being pixar, simplicity just isn't in the cards."
eFilmCritic.com,Erik Childress,Ratatouille,fresh,there's enough to enjoy in the artistry and its final hope for new discoveries to applaud the outcome even if its just a polite applause until the flame goes out.
Flipside Movie Emporium,Rob Vaux,Ratatouille,fresh,"a furry, pink-tailed, and utterly irresistible affirmation of mainstream animation at its best."
Cinematical,Jette Kernion,Ratatouille,fresh,an oasis in the middle of summer-movie mediocrity.
"Capital Times (Madison, WI)",Rob Thomas,Ratatouille,fresh,"""ratatouille"" is so fresh and fun and original and wonderful that the very least i could do is get through this review without any lame cooking metaphors."
Hollywood.com,Kit Bowen,Ratatouille,fresh,ratatouille is a pixar tour de force.
Sympatico.ca,Angela Baldassarre,Ratatouille,fresh,"what a delicious concoction of french sophistication coupled with a dollop of slapstick humour and a sprinkling of visual marvel. pixar's ""ratatouille"" is the perfect recipe for an adult/child offering."
eFilmCritic.com,Dan Lybarger,Ratatouille,fresh,"bird's movies so far have been aimed at children, but the craftsmanship in them can leave an adult spellbound."
Reel Film Reviews,David Nusair,Ratatouille,fresh,...ultimately one of the most uneven and least compelling efforts from disney's pixar animation studios to date...
Kalamazoo Gazette,James Sanford,Ratatouille,fresh,"bewitching... bird's movies don't have the same rush-rush rhythms or the lowbrow humor that have become the hallmark of too many animated films. instead, he puts the emphasis on characters and cleverness..."
Worcester Telegram & Gazette,Daniel M. Kimmel,Ratatouille,fresh,the best way to put it about pixar's triumphant new animated film ratatouille is this: all is forgiven for cars.
Los Angeles Daily News,Bob Strauss,Ratatouille,fresh,a breathlessly scampering slapstick delight.
Entertainment Insiders,Jonathan W. Hickman,Ratatouille,fresh,delicious family entertainment.
Detroit Free Press,Terry Lawson,Ratatouille,fresh,"ratatouille has its heart, and its head, in this effort to serve up something unique and satisfying."
Denver Post,Michael Booth,Ratatouille,fresh,writer and director brad bird keeps ratatouille moving without resorting to the cute animal jokes or pop-culture wisecracking that ruined so many other recent animated films.
Dallas Morning News,Stephen Becker,Ratatouille,fresh,"pixar, the undisputed heavyweight champion of the animation world, retains the title with this winning tale."
Contra Costa Times,Mary F. Pols,Ratatouille,fresh,"ranks up there with the best of pixar's best, joining nemo, monsters, inc. and toy story (1 and 2) in the ranks of instant classics. it's a reminder of how good 'kids' entertainment can be."
Chicago Sun-Times,Miriam Di Nunzio,Ratatouille,fresh,"ratatouille will make you wonder why animation needs to hide behind the mantle of 'it's for children, but grownups will like it, too.' this one's for mom and dad, and yep, the kids will like it, too."
