,doc_id,vol_1,vol_1_type,product_type,instrument_type,price_1,price_1_type,datetime_1,datetime_1_type,price_2,price_2_type,price_3,price_3_type,additional,price_4,price_4_type,vol_2,vol_2_type
3,DVN20120224,7000,"price collars,volume(bbls/d)",oil,"collar, call",$90.00,"price collars,weightedaverage floor price($/bbl)",Q1-Q4|2013,"production period,period",$125.12,"price collars,weightedaverage ceiling price($/bbl)",,"call options sold,weightedaverage price($/bbl)",,,,,"call options sold,volume(bbls/d)"
2,DVN20120224,325000,"price swaps,volume(mmbtu/d)",natural gas,swap,$5.09,"price swaps,weightedaverage price($/mmbtu)",Q1-Q4|2012,"production period,period",,,,,,,,,
2,DVN20120224,490000,"price collars,volume(mmbtu/d)",natural gas,"collar, call",$4.75,"price collars,weightedaverage floor price($/mmbtu)",Q1-Q4|2012,"production period,period",$5.57,"price collars,weightedaverage ceiling price($/mmbtu)",$6.00,"call options sold,weightedaverage price($/mmbtu)",,,,487500,"call options sold,volume(mmbtu/d)"
2,DVN20130221,31000,"price swaps,volume(bbls/d)",oil,swap,$104.13,"price swaps,weightedaverage price($/bbl)",Q1-Q4|2013,",period",,,,,,,,,
3,DVN20130221,4000,"price swaps,volume(bbls/d)",oil,swap,$100.49,"price swaps,weightedaverage price($/bbl)",Q1-Q4|2014,",period",,,,,,,,,
2,DVN20130221,45753,"price collars,volume(bbls/d)",oil,"collar, call",$91.19,"price collars,weighted averagefloor price ($/bbl)",Q1-Q4|2013,",period",$115.97,"price collars,weighted averageceiling price ($/bbl)",$120.00,"call options sold,weightedaverage price($/bbl)",,,,10000,"call options sold,volume(bbls/d)"
3,DVN20130221,2000,"price collars,volume(bbls/d)",oil,"collar, call",$90.00,"price collars,weighted averagefloor price ($/bbl)",Q1-Q4|2014,",period",$111.13,"price collars,weighted averageceiling price ($/bbl)",$120.00,"call options sold,weightedaverage price($/bbl)",,,,10000,"call options sold,volume(bbls/d)"
2,DVN20130221,3000,"basis swaps,volume (bbls/d)",oil,"basis swap, swap",$(19.58,"basis swaps,weighted averagedifferential to wti($/bbl)",Q1-Q2|2013,"basis swaps,period",,,,,,,,,
2,DVN20130221,461370,"price collars,volume(mmbtu/d),",natural gas,"collar, call",$3.53,"price collars,weighted averagefloor price($/mmbtu),",Q1-Q4|2013,",period,",$4.33,"price collars,weighted averageceiling price($/mmbtu),",,"call options sold,weightedaverage price($/mmbtu),",,,,,"call options sold,volume(mmbtu/d),"
3,DVN20130221,,"price collars,volume(mmbtu/d),",natural gas,"collar, call",,"price collars,weighted averagefloor price($/mmbtu),",Q1-Q4|2014,",period,",,"price collars,weighted averageceiling price($/mmbtu),",$5.00,"call options sold,weightedaverage price($/mmbtu),",,,,250000,"call options sold,volume(mmbtu/d),"
2,DVN20130221,822,"price swaps,volume(bbls/d)",oil,"swap, collar",$41.12,"price swaps,weighted averagefloor price ($/bbl)",Q1-Q4|2013,",period",,,,,,,,,
3,DVN20130221,1973,"price swaps,volume(bbls/d)",oil,"swap, collar",$15.36,"price swaps,weighted averagefloor price ($/bbl)",Q1-Q4|2013,",period",,,,,,,,,
2,DVN20130221,500,"basis swaps,volume(bbls/d)",natural gas,"basis swap, swap",$(6.80,"basis swaps,weighted averagedifferential to wti($/bbl)",Q1-Q4|2013,"basis swaps,period",,,,,,,,,
2,DVN20130221,560000,"price swaps,volume(mmbtu/d)",natural gas,swap,$4.18,"price swaps,weightedaverage price($/mmbtu)",Q1-Q4|2013,",period",,,,,,,,,
3,DVN20130221,250000,"price swaps,volume(mmbtu/d)",natural gas,swap,$4.09,"price swaps,weightedaverage price($/mmbtu)",Q1-Q4|2014,",period",,,,,,,,,
7,DVN20130221,28435,volume,,@,$3.64,weighted averageprice ,Q1-Q4|2013,period,,,,,,,,,
2,DVN20140228,75000,"price swaps,volume(bbls/d)",oil,swap,$94.14,"price swaps,weightedaverage price($/bbl)",Q1-Q4|2014,",period",,,,,,,,,
3,DVN20140228,37500,"price swaps,volume(bbls/d)",oil,swap,$90.15,"price swaps,weightedaverage price($/bbl)",Q1-Q4|2015,",period",,,,,,,,,
2,DVN20140228,70453,"price collars,volume(bbls/d)",oil,"collar, call",$89.38,"price collars,weighted averagefloor price ($/bbl)",Q1-Q4|2014,",period",$100.58,"price collars,weighted averageceiling price ($/bbl)",$116.43,"call options sold,weightedaverage price($/bbl)",,,,42000,"call options sold,volume(bbls/d)"
3,DVN20140228,,"price collars,volume(bbls/d)",oil,"collar, call",,"price collars,weighted averagefloor price ($/bbl)",Q1-Q4|2015,",period",,"price collars,weighted averageceiling price ($/bbl)",$115.45,"call options sold,weightedaverage price($/bbl)",,,,22000,"call options sold,volume(bbls/d)"
4,DVN20140228,,"price collars,volume(bbls/d)",oil,"collar, call",,"price collars,weighted averagefloor price ($/bbl)",Q1-Q4|2016,",period",,"price collars,weighted averageceiling price ($/bbl)",$95.00,"call options sold,weightedaverage price($/bbl)",,,,12500,"call options sold,volume(bbls/d)"
2,DVN20140228,800000,"price swaps,volume(mmbtu/d)",natural gas,swap,$4.42,"price swaps,weightedaverage price($/mmbtu)",Q1-Q4|2014,",period",,,,,,,,,
2,DVN20140228,460000,"price collars,volume(mmbtu/d)",natural gas,"collar, call",$4.03,"price collars,weighted averagefloor price($/mmbtu)",Q1-Q4|2014,",period",$4.51,"price collars,weighted averageceiling price($/mmbtu)",$5.00,"call options sold,weightedaverage price($/mmbtu)",,,,500000,"call options sold,volume(mmbtu/d)"
3,DVN20140228,,"price collars,volume(mmbtu/d)",natural gas,"collar, call",,"price collars,weighted averagefloor price($/mmbtu)",Q1-Q4|2015,",period",,"price collars,weighted averageceiling price($/mmbtu)",$5.09,"call options sold,weightedaverage price($/mmbtu)",,,,550000,"call options sold,volume(mmbtu/d)"
4,DVN20140228,,"price collars,volume(mmbtu/d)",natural gas,"collar, call",,"price collars,weighted averagefloor price($/mmbtu)",Q1-Q4|2016,",period",,"price collars,weighted averageceiling price($/mmbtu)",$5.00,"call options sold,weightedaverage price($/mmbtu)",,,,110000,"call options sold,volume(mmbtu/d)"
2,DVN20140228,94781,"basis swaps,volume (mmbtu/d)",natural gas,"basis swap, swap",$(0.52,"basis swaps,weighted averagedifferential to henry hub($/mmbtu)",Q1-Q4|2014,",period",,,,,,,,,
2,DVN20140228,329,"basis swaps,volume(bbls/d)",natural gas,"basis swap, swap",$(10.85,"basis swaps,weighted averagedifferential to wti($/bbl)",Q1-Q4|2014,",period",,,,,,,,,
2,DVN20150220,107203,"price swaps,volume(bbls/d)",oil,swap,$91.07,"price swaps,weightedaverage price($/bbl)",Q1-Q4|2015,",period",,,,,,,,,
2,DVN20150220,31500,"price collars,volume(bbls/d)",oil,"collar, call",$89.67,"price collars,weighted averagefloor price ($/bbl)",Q1-Q4|2015,",period",$97.84,"price collars,weighted averageceiling price ($/bbl)",$116.43,"call options sold,weightedaverage price($/bbl)",,,,28000,"call options sold,volume(bbls/d)"
3,DVN20150220,,"price collars,volume(bbls/d)",oil,"collar, call",,"price collars,weighted averagefloor price ($/bbl)",Q1-Q4|2016,",period",,"price collars,weighted averageceiling price ($/bbl)",$103.11,"call options sold,weightedaverage price($/bbl)",,,,18500,"call options sold,volume(bbls/d)"
2,DVN20150220,22514,"oil basis swaps,volume (bbls/d)",oil,"basis swap, swap",$(18.35,"oil basis swaps,weighted averagedifferential to wti($/bbl)",Q1-Q4|2015,",period",,,,,,,,,
3,DVN20150220,8000,"oil basis swaps,volume (bbls/d)",oil,"basis swap, swap",$(3.68,"oil basis swaps,weighted averagedifferential to wti($/bbl)",Q1-Q4|2015,",period",,,,,,,,,
4,DVN20150220,14247,"oil basis swaps,volume (bbls/d)",oil,"basis swap, swap",$(2.92,"oil basis swaps,weighted averagedifferential to wti($/bbl)",Q1-Q4|2015,",period",,,,,,,,,
2,DVN20150220,250000,"price swaps,volume(mmbtu/d)",natural gas,swap,$4.32,"price swaps,weightedaverage price($/mmbtu)",Q1-Q4|2015,",period",,,,,,,,,
2,DVN20150220,328452,"price collars,volume(mmbtu/d)",natural gas,"collar, call",$4.05,"price collars,weighted averagefloor price($/mmbtu)",Q1-Q4|2015,",period",$4.36,"price collars,weighted averageceiling price($/mmbtu)",$5.09,"call options sold,weightedaverage price($/mmbtu)",,,,550000,"call options sold,volume(mmbtu/d)"
3,DVN20150220,,"price collars,volume(mmbtu/d)",natural gas,"collar, call",,"price collars,weighted averagefloor price($/mmbtu)",Q1-Q4|2016,",period",,"price collars,weighted averageceiling price($/mmbtu)",$5.00,"call options sold,weightedaverage price($/mmbtu)",,,,400000,"call options sold,volume(mmbtu/d)"
2,DVN20150220,100000,"natural gas basis swaps,volume (mmbtu/d)",natural gas,"basis swap, swap",$(0.28,"natural gas basis swaps,weighted averagedifferential to henry hub($/mmbtu)",Q1-Q4|2015,",period",,,,,,,,,
3,DVN20150220,70000,"natural gas basis swaps,volume (mmbtu/d)",natural gas,"basis swap, swap",$(0.11,"natural gas basis swaps,weighted averagedifferential to henry hub($/mmbtu)",Q1-Q4|2015,",period",,,,,,,,,
4,DVN20150220,200000,"natural gas basis swaps,volume (mmbtu/d)",natural gas,"basis swap, swap",$0.01,"natural gas basis swaps,weighted averagedifferential to henry hub($/mmbtu)",Q1-Q4|2015,",period",,,,,,,,,
5,DVN20150220,30000,"natural gas basis swaps,volume (mmbtu/d)",natural gas,"basis swap, swap",$(0.33,"natural gas basis swaps,weighted averagedifferential to henry hub($/mmbtu)",Q1-Q4|2016,",period",,,,,,,,,
6,DVN20150220,15000,"natural gas basis swaps,volume (mmbtu/d)",natural gas,"basis swap, swap",$(0.13,"natural gas basis swaps,weighted averagedifferential to henry hub($/mmbtu)",Q1-Q4|2016,",period",,,,,,,,,
7,DVN20150220,30000,"natural gas basis swaps,volume (mmbtu/d)",natural gas,"basis swap, swap",$0.11,"natural gas basis swaps,weighted averagedifferential to henry hub($/mmbtu)",Q1-Q4|2016,",period",,,,,,,,,
2,DVN20160217,18500,"call options sold,volume (bbls/d)",oil,call,$73.18,"call options sold,weighted averageprice ($/bbl)",Q1-Q4|2016,",period",,,,,,,,,
2,DVN20160217,5249,"oil basis swaps,volume (bbls/d)",oil,"basis swap, swap",$(13.67,"oil basis swaps,weighted averagedifferential to wti($/bbl)",Q1-Q4|2016,",period",,,,,,,,,
3,DVN20160217,5000,"oil basis swaps,volume (bbls/d)",oil,"basis swap, swap",$(0.53,"oil basis swaps,weighted averagedifferential to wti($/bbl)",Q1-Q4|2016,",period",,,,,,,,,
4,DVN20160217,13000,"oil basis swaps,volume (bbls/d)",oil,"basis swap, swap",$0.25,"oil basis swaps,weighted averagedifferential to wti($/bbl)",Q1-Q4|2016,",period",,,,,,,,,
2,DVN20160217,54650,"price swaps,volume (mmbtu/d)",natural gas,"swap, call",$3.17,"price swaps,weighted averageprice ($/mmbtu)",Q1-Q4|2016,",period",$4.30,"call options sold,weighted averageprice ($/mmbtu)",,,,,,400000,"call options sold,volume(mmbtu/d)"
2,DVN20160217,175000,"natural gas basis swaps,volume (mmbtu/d)",natural gas,"basis swap, swap",$(0.34,"natural gas basis swaps,weighted averagedifferential to henryhub ($/mmbtu)",Q1-Q4|2016,",period",,,,,,,,,
3,DVN20160217,125000,"natural gas basis swaps,volume (mmbtu/d)",natural gas,"basis swap, swap",$(0.12,"natural gas basis swaps,weighted averagedifferential to henryhub ($/mmbtu)",Q1-Q4|2016,",period",,,,,,,,,
4,DVN20160217,30000,"natural gas basis swaps,volume (mmbtu/d)",natural gas,"basis swap, swap",$0.11,"natural gas basis swaps,weighted averagedifferential to henryhub ($/mmbtu)",Q1-Q4|2016,",period",,,,,,,,,
5,DVN20160217,70000,"natural gas basis swaps,volume (mmbtu/d)",natural gas,"basis swap, swap",$0.01,"natural gas basis swaps,weighted averagedifferential to henryhub ($/mmbtu)",Q1-Q4|2016,",period",,,,,,,,,
6,DVN20160217,150000,"natural gas basis swaps,volume (mmbtu/d)",natural gas,"basis swap, swap",$(0.34,"natural gas basis swaps,weighted averagedifferential to henryhub ($/mmbtu)",Q1-Q4|2017,",period",,,,,,,,,
7,DVN20160217,50000,"natural gas basis swaps,volume (mmbtu/d)",natural gas,"basis swap, swap",$(0.14,"natural gas basis swaps,weighted averagedifferential to henryhub ($/mmbtu)",Q1-Q4|2017,",period",,,,,,,,,
8,DVN20160217,35000,"natural gas basis swaps,volume (mmbtu/d)",natural gas,"basis swap, swap",$0.06,"natural gas basis swaps,weighted averagedifferential to henryhub ($/mmbtu)",Q1-Q4|2017,",period",,,,,,,,,
9,DVN20160217,185000,"natural gas basis swaps,volume (mmbtu/d)",natural gas,"basis swap, swap",$0.03,"natural gas basis swaps,weighted averagedifferential to henryhub ($/mmbtu)",Q1-Q4|2017,",period",,,,,,,,,
1,DVN20170215,72527,"price swaps,volume (bbls/d)",oil,swap,$54.32,"price swaps,weighted average price ($/bbl)",q1-q4|2017,period,,,,,,,,,
2,DVN20170215,2600,"price swaps,volume (bbls/d)",oil,swap,$53.38,"price swaps,weighted average price ($/bbl)",Q1-Q4|2018,period,,,,,,,,,
1,DVN20170215,53245,"price collars,volume (bbls/d)",oil,collar,$45.16,"price collars,weighted average floor price ($/bbl)",q1-q4|2017,period,$57.97,"price collars,weighted average ceiling price ($/bbl)",,,,,,,
2,DVN20170215,6189,"price collars,volume (bbls/d)",oil,collar,$46.97,"price collars,weighted average floor price ($/bbl)",Q1-Q4|2018,period,$56.97,"price collars,weighted average ceiling price ($/bbl)",,,,,,,
1,DVN20170215,10000,"oil basis swaps,volume (bbls/d)",oil,"basis swap, swap",$(0.43,"oil basis swaps,weighted average differential to wti ($/bbl)",q1-q4|2017,period,,,,,,,,,
1,DVN20170215,189753,"price swaps,volume (mmbtu/d)",natural gas,swap,$3.13,"price swaps,weighted average price ($/mmbtu)",q1-q4|2017,period,,,,,,,,,
2,DVN20170215,29705,"price swaps,volume (mmbtu/d)",natural gas,swap,$3.17,"price swaps,weighted average price ($/mmbtu)",Q1-Q4|2018,period,,,,,,,,,
1,DVN20170215,335274,"price collars,volume (mmbtu/d)",natural gas,collar,$2.97,"price collars,weighted average floor price ($/mmbtu)",q1-q4|2017,period,$3.38,"price collars,weighted average ceiling price ($/mmbtu)",,,,,,,
2,DVN20170215,19110,"price collars,volume (mmbtu/d)",natural gas,collar,$3.20,"price collars,weighted average floor price ($/mmbtu)",Q1-Q4|2018,period,$3.50,"price collars,weighted average ceiling price ($/mmbtu)",,,,,,,
1,DVN20170215,150000,"natural gas basis swaps,volume (mmbtu/d)",natural gas,"basis swap, swap",$(0.34,"natural gas basis swaps,weighted average differential to henry hub ($/mmbtu)",q1-q4|2017,period,,,,,,,,,
2,DVN20170215,80000,"natural gas basis swaps,volume (mmbtu/d)",natural gas,"basis swap, swap",$(0.13,"natural gas basis swaps,weighted average differential to henry hub ($/mmbtu)",Q1-Q4|2017,period,,,,,,,,,
3,DVN20170215,35000,"natural gas basis swaps,volume (mmbtu/d)",natural gas,"basis swap, swap",$0.06,"natural gas basis swaps,weighted average differential to henry hub ($/mmbtu)",Q1-Q4|2017,period,,,,,,,,,
4,DVN20170215,205000,"natural gas basis swaps,volume (mmbtu/d)",natural gas,"basis swap, swap",$0.03,"natural gas basis swaps,weighted average differential to henry hub ($/mmbtu)",Q1-Q4|2017,period,,,,,,,,,
5,DVN20170215,50000,"natural gas basis swaps,volume (mmbtu/d)",natural gas,"basis swap, swap",$(0.29,"natural gas basis swaps,weighted average differential to henry hub ($/mmbtu)",Q1|2018,period,,,,,,,,,
